HMDB04935,HMDB0000001
HMDB06703,HMDB0000001
HMDB06704,HMDB0000001
HMDB06544,HMDB0000005
HMDB04990,HMDB0000010
HMDB04991,HMDB0000010
HMDB02240,HMDB0001301
HMDB06476,HMDB0001308
HMDB01311,HMDB0001311
HMDB28815,HMDB0028815
HMDB30413,HMDB0028815
HMDB28830,HMDB0028830
HMDB94678,HMDB0028830
HMDB28831,HMDB0028831
HMDB62553,HMDB0028831
HMDB28832,HMDB0028832
HMDB59717,HMDB0028832
HMDB11598,HMDB0001320
HMDB06531,HMDB0001322
HMDB29043,HMDB0029043
HMDB94712,HMDB0029043
HMDB29052,HMDB0029052
HMDB94706,HMDB0029052
HMDB00647,HMDB0000158
HMDB04196,HMDB0001347
HMDB12099,HMDB0001348
HMDB28826,HMDB0029156
HMDB29156,HMDB0029156
HMDB00612,HMDB0000159
HMDB33668,HMDB0029214
HMDB02029,HMDB0001356
HMDB06504,HMDB0001359
HMDB02296,HMDB0001374
HMDB05027,HMDB0001394
HMDB02983,HMDB0000164
HMDB01549,HMDB0001401
HMDB06793,HMDB0001401
HMDB29632,HMDB0029632
HMDB62710,HMDB0029632
HMDB60243,HMDB0001414
HMDB01423,HMDB0001423
HMDB62184,HMDB0001423
HMDB05947,HMDB0001429
HMDB60259,HMDB0001432
HMDB05881,HMDB0001434
HMDB11735,HMDB0001473
HMDB11665,HMDB0001484
HMDB02909,HMDB0001490
HMDB06775,HMDB0001490
HMDB02634,HMDB0001492
HMDB05092,HMDB0001509
HMDB29145,HMDB0030419
HMDB30419,HMDB0030419
HMDB03412,HMDB0000177
HMDB06479,HMDB0001514
HMDB15410,HMDB0001514
HMDB06517,HMDB0001521
HMDB06951,HMDB0001526
HMDB02365,HMDB0001533
HMDB05761,HMDB0000186
HMDB13210,HMDB0001553
HMDB06206,HMDB0001562
HMDB01565,HMDB0001565
HMDB04260,HMDB0000019
HMDB00589,HMDB0000187
HMDB10723,HMDB0001568
HMDB01586,HMDB0001586
HMDB01644,HMDB0001644
HMDB14264,HMDB0001846
HMDB0062492,HMDB0000190
HMDB03328,HMDB0000190
HMDB62492,HMDB0000190
HMDB14799,HMDB0001850
HMDB01851,HMDB0001851
HMDB13762,HMDB0001858
HMDB03151,HMDB0001873
HMDB31266,HMDB0031266
HMDB31313,HMDB0031313
HMDB61830,HMDB0031313
HMDB02129,HMDB0001891
HMDB02002,HMDB0001901
HMDB14534,HMDB0001917
HMDB14655,HMDB0001920
HMDB01925,HMDB0001925
HMDB04997,HMDB0001927
HMDB05003,HMDB0001930
HMDB00456,HMDB0000201
HMDB00515,HMDB0000201
HMDB01934,HMDB0001934
HMDB05069,HMDB0001934
HMDB13119,HMDB0001934
HMDB13120,HMDB0001934
HMDB13135,HMDB0001934
HMDB13323,HMDB0001934
HMDB13644,HMDB0001934
HMDB13661,HMDB0001934
HMDB13666,HMDB0001934
HMDB13673,HMDB0001934
HMDB13697,HMDB0001934
HMDB05002,HMDB0001942
HMDB04994,HMDB0001944
HMDB01237,HMDB0000205
HMDB31629,HMDB0000205
HMDB60113,HMDB0001976
HMDB02781,HMDB0001980
HMDB15347,HMDB0001984
HMDB02066,HMDB0000207
HMDB01993,HMDB0001993
HMDB02812,HMDB0000208
HMDB02654,HMDB0002017
HMDB05942,HMDB0002017
HMDB06062,HMDB0002017
HMDB01326,HMDB0000209
HMDB60261,HMDB0002024
HMDB11613,HMDB0002032
HMDB02256,HMDB0000211
