primaryID	secondaryID
CHEBI:3216	CHEBI:166254
CHEBI:3216	CHEBI:656608
CHEBI:3238	CHEBI:205442
CHEBI:3240	CHEBI:355508
CHEBI:3242	CHEBI:145838
CHEBI:3243	CHEBI:176963
CHEBI:3252	CHEBI:68320
CHEBI:3303	CHEBI:51904
CHEBI:3319	CHEBI:41431
CHEBI:3353	CHEBI:152166
CHEBI:3354	CHEBI:380571
CHEBI:3385	CHEBI:41364
CHEBI:3387	CHEBI:115086
CHEBI:3395	CHEBI:212626
CHEBI:3398	CHEBI:166273
CHEBI:3419	CHEBI:330249
CHEBI:3478	CHEBI:472656
CHEBI:3485	CHEBI:184624
CHEBI:3493	CHEBI:258120
CHEBI:3499	CHEBI:558729
CHEBI:3504	CHEBI:606443
CHEBI:3510	CHEBI:554578
CHEBI:3523	CHEBI:23062
CHEBI:3537	CHEBI:235235
CHEBI:3558	CHEBI:503465
CHEBI:3567	CHEBI:207931
CHEBI:3637	CHEBI:189357
CHEBI:3640	CHEBI:162615
CHEBI:3642	CHEBI:704618
CHEBI:3642	CHEBI:480431
CHEBI:3650	CHEBI:108516
CHEBI:3655	CHEBI:47330
CHEBI:3663	CHEBI:84319
CHEBI:3696	CHEBI:666483
CHEBI:3696	CHEBI:148701
CHEBI:3697	CHEBI:109454
CHEBI:3697	CHEBI:41538
CHEBI:3697	CHEBI:143261
CHEBI:3716	CHEBI:314701
CHEBI:3720	CHEBI:151790
CHEBI:3720	CHEBI:221485
CHEBI:3720	CHEBI:143545
CHEBI:3720	CHEBI:657397
CHEBI:3720	CHEBI:657741
CHEBI:3732	CHEBI:670147
CHEBI:3732	CHEBI:442148
CHEBI:3732	CHEBI:41676
CHEBI:3738	CHEBI:569763
CHEBI:3743	CHEBI:126351
CHEBI:3745	CHEBI:47331
CHEBI:3749	CHEBI:355347
CHEBI:3756	CHEBI:102465
CHEBI:3856	CHEBI:69342
CHEBI:3900	CHEBI:545296
CHEBI:3930	CHEBI:42177
CHEBI:3960	CHEBI:65695
CHEBI:3994	CHEBI:127546
CHEBI:3996	CHEBI:128119
CHEBI:4031	CHEBI:91802
CHEBI:4031	CHEBI:63586
CHEBI:4046	CHEBI:111005
CHEBI:4046	CHEBI:605605
CHEBI:4075	CHEBI:42773
CHEBI:4222	CHEBI:45012
CHEBI:4309	CHEBI:42127
CHEBI:4315	CHEBI:505364
CHEBI:4315	CHEBI:554019
CHEBI:4325	CHEBI:226356
CHEBI:4354	CHEBI:65731
CHEBI:4379	CHEBI:185233
CHEBI:4379	CHEBI:605091
CHEBI:4392	CHEBI:554084
CHEBI:4470	CHEBI:92579
CHEBI:4474	CHEBI:618361
CHEBI:4495	CHEBI:6046
CHEBI:4513	CHEBI:469386
CHEBI:4514	CHEBI:265774
CHEBI:4551	CHEBI:41856
CHEBI:4551	CHEBI:569365
CHEBI:4551	CHEBI:616935
CHEBI:4562	CHEBI:4826
CHEBI:4562	CHEBI:658566
CHEBI:4629	CHEBI:67838
CHEBI:4670	CHEBI:184505
CHEBI:4670	CHEBI:554519
CHEBI:4702	CHEBI:105798
CHEBI:4702	CHEBI:42295
CHEBI:4702	CHEBI:101089
CHEBI:4717	CHEBI:252751
CHEBI:4728	CHEBI:681819
CHEBI:4735	CHEBI:42189
CHEBI:4759	CHEBI:267875
CHEBI:4778	CHEBI:65841
CHEBI:4779	CHEBI:119712
CHEBI:4784	CHEBI:116847
CHEBI:4786	CHEBI:123355
CHEBI:4788	CHEBI:239046
CHEBI:4821	CHEBI:587000
CHEBI:4822	CHEBI:296351
CHEBI:4858	CHEBI:149847
CHEBI:4877	CHEBI:133410
CHEBI:4877	CHEBI:678172
CHEBI:4877	CHEBI:659237
CHEBI:4882	CHEBI:119469
CHEBI:4884	CHEBI:553538
CHEBI:4887	CHEBI:131811
CHEBI:4888	CHEBI:250452
CHEBI:4904	CHEBI:106883
CHEBI:4907	CHEBI:63588
CHEBI:4909	CHEBI:126431
CHEBI:4910	CHEBI:129090
CHEBI:4916	CHEBI:65872
CHEBI:4932	CHEBI:65882
CHEBI:4946	CHEBI:67552
CHEBI:4974	CHEBI:174284
CHEBI:4986	CHEBI:13635
CHEBI:4986	CHEBI:24023
CHEBI:4995	CHEBI:250451
CHEBI:5000	CHEBI:239434
CHEBI:5004	CHEBI:355534
CHEBI:5091	CHEBI:76029
CHEBI:5163	CHEBI:288733
CHEBI:5163	CHEBI:159901
CHEBI:5186	CHEBI:67925
CHEBI:5280	CHEBI:101712
CHEBI:5292	CHEBI:42670
CHEBI:5353	CHEBI:65965
CHEBI:5445	CHEBI:387614
CHEBI:5445	CHEBI:24343
CHEBI:5638	CHEBI:65880
CHEBI:5706	CHEBI:102367
CHEBI:5721	CHEBI:66014
CHEBI:5722	CHEBI:487491
CHEBI:5776	CHEBI:68140
CHEBI:5850	CHEBI:134675
CHEBI:5864	CHEBI:219640
CHEBI:5885	CHEBI:66070
